PA160HZ,Bob
PA0B,Rob
PA0INA,Frans
PC4E,Hans
PD0HRS,Wim
PJ2G,Nigel
PJ2L,Andy
PJ4LS,Hans
PR7PO,Alex
PZ4TT,Yuri
PZ5T,Yuri
R2DMV,Yura
R2DMW,Mike
R7KZ,Stan
RM2D,Mats
RM8G,Yuri
S20A,Tine
S21VJ,Andy
S21YD,Carl
S50A,Tine
S51J,Janez
S52DT,Damjan
S52KM,Hinko
S52MZ,Marian
S53R,Robert
S57NW,Jelka
S57WJ,Gabor
S58AL,Albert
S58MU,Milan
S79TXF,Nigel
SA6G,Lars
SJ6R,Mats
SM1TDE,Eric
SM2CEW,Peter
SM2COP,Rune
SM2EKM,Jim
SM3EVR,Tord
SM5CBN,Lennart
SM5CCE,Kjell
SM5COP,Rune
SM5DXR,Christer
SM5GLC,Lasse
SM6BGA,Hans
SM6CNX,Dan
SM6CPY,Carl
SM6CUK,Lars
SM6DHU,Matt
SM6LRR,Mats
SM7RME,Thor
SM7YIN,Ingvar
SN2S,Slav
SO5CW,Fabian
SO5TW,Tom
SP1JPM,Kaz
SP1MVG,Krzysztof
SP2BKX,Marian
SP2MHC,Gebka
SP2QG,Marek
SP2SV,Krzysztof
SP2WGB,Stanislaw
SP2YMX,Rodzinny
SP3GTS,Zenon
SP3J,Janus
SP3VT,Marek
SP4R,Andrzej
SP4TKR,Surdziel
SP5EXA,Chris
SP6CW,Rob
SP8BXL,Hieronim
SP8JUS,Zbig
SP9BCH,Jan
SQ2WKQ,Krzysztof
SQ9MZ,Henryk
ST2AR,Robert
ST2KSS,Robert
SV1AOW,Geo
SV1RUX,David
SV2BBK,Theo
SV2TCY,Eduard
T6AA,Robert
T33IC,Greg
TF2WJQ,Ken
TF3DC,Oskar
TF3FOC,Oskar
TI5KS,Kam
TJ3G,Nigel
TL8DV,Dave
TM6X,Den
TN6X,Baldur
TO2U,Yuri
TT8KR,Robert
TX8A,Motoaki
TY5MF,Mike
TZ6LF,Lee
TZ6MF,Mike
TZ6RF,Rob
TZ6WP,Fred
UA1A,Fred
UR3QX,Geno
UR5E,Fred
UR5MM,Rudy
US2MT,Toly
US0Q,Fred
UT4UZ,Yuri
UT5PI,Valerij
UU5JZ,Stan
UX2HB,Waddy
V8JIM,Jim
V25DG,Doug
V25XF,Nigel
V26K,Bud
V31DJ,Walt
V31LZ,Rumen
V31UZ,Yuri
V31YN,Gerd
V47NT,Andy
V47VJ,Andy
V63TXF,Nigel
V73BL,Mark
V85XF,Nigel
VA2EBI,George
VA3FOC,Pista
VA3PN,Pat
VA3SB,Serge
VA3UZ,Yuri
VA3VNE,Jim
VC3T,Yuri
VE2AEJ,Alan
VE2IM,Yuri
VE3AAQ,Dave
VE3DZ,Yuri
VE3DZZ,Pat
VE3EJ,John
VE3GFN,Mike
VE3HX,Alan
VE3IAE,Vlad
VE3KG,Dave
VE3LYC,Cezar
VE3TM,Vlad
VE3USP,Pista
